,X,Y,PID,SSL,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,REPORTINGYEAR,REPORTSTATUS,ADDRESSOFRECORD,OWNEROFRECORD,WARD,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_SELFSELECT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERSCORE_MFPROPERTIES,WATERUSE_ALLWATERSOURCES_KGAL,METEREDAREAS_ENERGY,METEREDAREAS_WATER,NATURALGASUSE_THERMS,FUELOILANDDIESELFUELUSEKBTU,ADDRESSID,XCOORD,YCOORD,GIS_LAST_MOD_DTTM,DISTRCHILLEDWATER_KBTU,DISTRHOTWATER_KBTU,DISTRSTEAM_KBTU,ELECTRICITYUSE_RENEWABLE_KWH,ELECTRICITYUSE_GRID_KWH,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,LASTUPDATE
18982,-77.02051336,38.92406534,PM4060704,3057    0092,Ira Aldridge,4060094,Sub Station Buildings,2013,Data Under Review by DOEE,2440 6TH ST NW,HOWARD UNIVERSITY,1.0,20059,1867.0,College/University,,1095275,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,804466.0,398221.3904,139576.0874,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021/01/31 00:00:00+00
18983,-77.02051336,38.92406534,PM4060704,3057    0092,Ira Aldridge,4060094,Sub Station Buildings,2014,Data Under Review by DOEE,2440 6TH ST NW,HOWARD UNIVERSITY,1.0,20001,1867.0,College/University,,1095275,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,804466.0,398221.3904,139576.0874,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021/01/31 00:00:00+00
18984,-77.02150034,38.92157174,PM4060705,3064    0837,LK Downing Engineering,4060094,Sub Station Buildings,2010,Data Under Review by DOEE,2300 6TH STREET NW,HOWARD UNIVERSITY,1.0,20059,1977.0,College/University,College/University,162354,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,800060.0,398135.7398,139299.297,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
18985,-77.02150034,38.92157174,PM4060705,3064    0837,LK Downing Engineering,4060094,Sub Station Buildings,2012,In Compliance,2300 6TH STREET NW,HOWARD UNIVERSITY,1.0,20059,1977.0,College/University,College/University,162354,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,800060.0,398135.7398,139299.297,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
18986,-77.02150225,38.92176543,PM4060705,3064    0837,LK Downing Engineering,4060094,Sub Station Buildings,2013,Data Under Review by DOEE,2300 - 2370 6TH ST NW,HOWARD UNIVERSITY,1.0,20059,1867.0,College/University,,162354,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,800060.0,398135.5793,139320.7984,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
18987,-77.02150225,38.92176543,PM4060705,3064    0837,LK Downing Engineering,4060094,Sub Station Buildings,2014,Data Under Review by DOEE,2300 - 2370 6TH ST NW,HOWARD UNIVERSITY,1.0,20059,1952.0,College/University,College/University,162354,98856.0,,0.7,0.7,0.7,0.7,3.5,0.0,,1734.0,Whole Building,,661.9999918,0.0,284332.0,398135.5793,139320.7984,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
18988,-77.02150263,38.92211167,PM4060705,3064    0837,LK Downing Engineering,4060094,Sub Station Buildings,2015,Data Under Review by DOEE,2300 - 2370 6TH ST NW,HOWARD UNIVERSITY,1.0,20059,1952.0,College/University,College/University,162354,98856.0,,0.2,0.2,0.2,0.3,1.2,0.0,,1734.0,Whole Building,,220.6000011,0.0,284332.0,398135.5559,139359.2341,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
18989,-77.02150263,38.92211167,PM4060705,3064    0837,LK Downing Engineering,4060094,Sub Station Buildings,2016,Data Under Review by DOEE,2300 - 2370 6TH ST NW,HOWARD UNIVERSITY  (LAND ONLY),1.0,20059,1952.0,College/University,College/University,162354,98856.0,,0.1,0.1,0.1,0.1,0.7,0.0,,917.1,Whole Building,,136.3999943,0.0,284332.0,398135.5559,139359.2341,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
18990,-77.02150263,38.92211167,PM4060705,3064    0837,LK Downing Engineering,4060094,Sub Station Buildings,2017,In Compliance,2300 - 2370 6TH ST NW,HOWARD UNIVERSITY  (LAND ONLY),1.0,20059,1952.0,College/University,College/University,162354,98856.0,,0.2,0.2,0.2,0.2,1.0,0.0,,1743.0,Whole Building,,183.0967759,0.0,284332.0,398135.5559,139359.2341,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
18991,-77.02051336,38.92406534,PM4060706,3057    0092,Locke Hall,4060094,Sub Station Buildings,2011,In Compliance,2440 6TH ST NW,HOWARD UNIVERSITY,1.0,,1867.0,College/University,College/University,1095275,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,291439.0,398221.3904,139576.0874,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021/01/31 00:00:00+00
